"","df","logLik","AICc","delta","weight"
"1+6+8+9+10",8,-381.716933146965,779.525352952126,0,0.155520825452216
"1+5+6+8+9+10",9,-380.718471970096,779.551374963714,0.0260220115879974,0.153510449955456
"1+3+5+6+8+9+10",10,-379.919791976164,779.979533061743,0.454180109617369,0.123926617191457
"1+4+6+8+9+10",9,-381.135125443923,780.384681911367,0.859328959241907,0.101201660899472
"1+2+6+8+9+10",9,-381.257730557212,780.629892137945,1.10453918581982,0.0895242963000401
"1+3+6+8+9+10",9,-381.447443529812,781.009318083146,1.48396513102045,0.0740541870657439
"1+2+5+6+8+9+10",10,-380.525700602172,781.191350313759,1.66599736163323,0.0676116947653154
"1+2+3+5+6+8+9+10",11,-379.617189395196,781.402424621074,1.87707166894836,0.0608397777229561
"1+5+6+7+8+9+10",10,-380.67324370841,781.486436526234,1.96108357410856,0.0583370770581322
"1+4+5+6+8+9+10",10,-380.677302981806,781.494555073028,1.96920212090197,0.0581007508939534
"1+3+4+6+8+9+10",10,-380.689913639532,781.519776388478,1.9944234363528,0.0573726626952575
