"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","informationWithheld","identificationRemarks","higherGeography","institutionKey","collectionKey","preparations","recordNumber","habitat","nomenclaturalCode","georeferenceProtocol","http...unknown.org.taxonRankID","locality","county","eventRemarks","type","vernacularName","taxonConceptID","http...unknown.org.species","higherClassification","elevation","associatedTaxa","reproductiveCondition","networkKeys","individualCount","lifeStage","institutionID","collectionID","establishmentMeans","otherCatalogNumbers","verbatimSRS","verbatimCoordinateSystem","disposition","verbatimTaxonRank","georeferenceSources","verbatimElevation","gadm","fieldNotes","fieldNumber","datasetID","eventID","language","verbatimIdentification","ownerInstitutionCode","accessRights","coordinatePrecision","georeferencedBy","typeStatus","recordedByIDs.type","recordedByIDs.value","http...unknown.org.typifiedName","locationID","media_url"
"2418625777","Gossia hillii (Benth.) N.Snow & Guymer",-27.91,153.199167,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:49.174+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2017-02-01T00:00:00",100,"OCEANIA","Queensland",2017,1,25,"2017-01-25",25,25,"2022-01-28T15:31:57.000+00:00","2024-06-19T04:58:49.174+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"61aa27a7-fcf6-414b-856f-d667b58042dd","none","none",FALSE,NA,"Bean, A.R.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"61aa27a7-fcf6-414b-856f-d667b58042dd",NA,NA,NA,"Herbrecs","2418625777","61aa27a7-fcf6-414b-856f-d667b58042dd",NA,"BRI AQ0865484","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Shrub 40cm high, widely spreading. Leaves dark green, new growth reddish.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","32884","Notophyll rainforest with Endiandra, Jagera, Ficus, Polyscias, Neolitsea, Cryptocarya, Archontophoenix, Calamus, and emergents of Eucalyptus grandis. Red-brown clay-loam; hillside.","ICN","GPS","7000","Tamborine Heights Park, Contour Road, Mt Tamborine.","Moreton","Rare at site.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=933a9184-ba01-4a65-8cb2-29f92042cf9a"
"2418607504","Gossia hillii (Benth.) N.Snow & Guymer",-27.755306,153.166056,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:45.555+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2017-04-01T00:00:00",100,"OCEANIA","Queensland",2016,3,23,"2016-03-23",83,83,"2022-01-28T15:31:57.000+00:00","2024-06-19T04:58:45.555+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"599cebdb-e88f-4c5e-860b-0a339f663bda","none","none",TRUE,NA,"Forster, P.I.|Leiper, G.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"599cebdb-e88f-4c5e-860b-0a339f663bda",NA,NA,NA,"Herbrecs","2418607504","599cebdb-e88f-4c5e-860b-0a339f663bda",NA,"BRI AQ0839799","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Shrub to 2.5m tall; bark flaky, fawn; foliage coriaceous, flexible, glossy, dark green above, paler below.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","PIF43579","Araucarian microphyll vineforest, dominated by Dissiliaria baloghioides, some Eucalyptus major on the edges; south facing slope above gully, metasediments with quartz chunks, red soil.","ICN","GPS","7000","Bahrs Scrub, Belivah, S of Beenleigh; Davidson property; Lot/Plan: 342/SP101421.","Moreton","Very common at locality.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=4288223f-bd4d-4761-a6fd-678b90ed80c7"
"2825408444","Gossia hillii (Benth.) N.Snow & Guymer",-27.445028,152.922667,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:39.835+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2016-10-13T00:00:00",50,"OCEANIA","Queensland",2016,10,13,"2016-10-13",287,287,"2022-03-14T10:14:04.000+00:00","2024-06-19T04:58:39.835+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"3d3f751f-6006-4611-a51f-b9396c0a9da7","none","none",FALSE,NA,"Halford, J.J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"3d3f751f-6006-4611-a51f-b9396c0a9da7",NA,NA,NA,"Herbrecs","2825408444","3d3f751f-6006-4611-a51f-b9396c0a9da7",NA,"BRI AQ1004165","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Medium tree 11m tall with crooked trunk, hard furrowed bark.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","JJH480","Small patch of dry hoop pine scrub surrounded by eucalypt forest.","ICN","GPS","7000","Enoggera Reservoir, Araucaria Walk.","Moreton","Crown cover surprisingly good with only minor MR shoot damage obvious, however infection occurring in all emerging buds when examined under microscope. One tree observed.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",102,"Corymbia intermedia, Eucalyptus drepanophylla, Eucalyptus portuensis, Eucalyptus reducta, Xanthorrhoea johnsonii, Themeda triandra, Mnesithea rottboellioides, Flemingia parviflora, Acacia calyculata, Lomandra longifolia, Lepidosperma laterale, Arundinella setosa, Lomandra multiflora subsp. multiflora, Hardenbergia violacea","Flowers and buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=71733f58-373e-4e08-a5b1-ad65c7fa16e6"
"2418552972","Gossia hillii (Benth.) N.Snow & Guymer",-27.825194,153.225361,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:40.768+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2013-10-01T00:00:00",100,"OCEANIA","Queensland",2013,10,30,"2013-10-30",303,303,"2022-01-28T15:31:57.000+00:00","2024-06-19T04:58:40.768+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"42772c75-8fb4-4166-8459-e5fe444b6583","none","none",TRUE,NA,"Forster, P.I.|Leiper, G.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"42772c75-8fb4-4166-8459-e5fe444b6583",NA,NA,NA,"Herbrecs","2418552972","42772c75-8fb4-4166-8459-e5fe444b6583",NA,"BRI AQ0836084","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Small tree to 4m tall; bark flaky, fawn; foliage thinly coriaceous, flexible, glossy, dark green above, paler below; flowers cream, young fruit.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet|Silica gel sample","PIF40585","Remnant/revegetated araucarian microphyll vineforest on alluvial flat.","ICN","GPS","7000","Boral Environmental Reserve, Upper Ormeau Road, banks of Pimpama River.","Moreton","Occasional at locality.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",60,NA,"Flowers and buds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=8a14380a-2c9b-4fad-917d-ade5e28a9c9a"
"2236076648","Gossia hillii (Benth.) N.Snow & Guymer",-27.8253,153.225,"gass84,osiic","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","bc092ff0-02e4-11dc-991f-b8a03c50a862","US","EML","2024-08-02T10:48:24.215+00:00","2024-08-02T12:39:56.480+00:00",403,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE",NA,NA,"OCEANIA","Queensland",2013,10,30,"2013-10-30",303,303,"2018-09-26T09:23:00.000+00:00","2024-08-02T12:39:56.480+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"http://n2t.net/ark:/65665/3beb2234f-f834-41ed-b94a-4bfb61ddbab3","none","none",TRUE,"NMNH Extant Biology","P. I. Forster & G. Leiper","Forster, P. I.","WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","NORTH_AMERICA",NA,"http://n2t.net/ark:/65665/3beb2234f-f834-41ed-b94a-4bfb61ddbab3",NA,NA,NA,"US","2236076648","http://n2t.net/ark:/65665/3beb2234f-f834-41ed-b94a-4bfb61ddbab3",NA,"US 3707125","US",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer",NA,NA,NA,"Australasia, Australia, Queensland","be5b9c72-e499-42b8-a5dc-c27505cf232e","151c91ba-a521-4735-8c11-5abf8db7fb67",NA,"40585","Remnant/revegetated araucarian microphyll vineforest on alluvial flat. Occasional at locality",NA,NA,NA,"Boral Environmental Reserve, Upper Ormeau road, banks of Pimpama River",NA,NA,NA,NA,NA,NA,"Plantae, Dicotyledonae, Myrtales, Myrtaceae, Myrtoideae",60,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"Flowering","urn:lsid:biocol.org:col:15463","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://n2t.net/ark:/65665/m371bac523-a056-4f65-bfb7-81caf4e60054"
"2418542665","Gossia hillii (Benth.) N.Snow & Guymer",-27.874167,153.031111,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:40.854+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2012-06-01T00:00:00",100,"OCEANIA","Queensland",2012,6,4,"2012-06-04",156,156,"2022-01-28T15:31:57.000+00:00","2024-06-19T04:58:40.854+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"3e1988d3-7e5a-4e3b-97d4-50ab0efd67d3","none","none",FALSE,NA,"Leiper, G.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"3e1988d3-7e5a-4e3b-97d4-50ab0efd67d3",NA,NA,NA,"Herbrecs","2418542665","3e1988d3-7e5a-4e3b-97d4-50ab0efd67d3",NA,"BRI AQ0833700","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Shrub to 3m tall.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","s.n.","Remnant riparian Hoop Pine rainforest.","ICN","GPS","7000","Scrubby Creek, Cedarvale, near Jimboomba.","Moreton",NA,"PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=01704843-23d5-4981-8175-f92afd0de1ed"
"2418638362","Gossia hillii (Benth.) N.Snow & Guymer",-27.514103,152.867264,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:51.706+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2011-02-01T00:00:00",100,"OCEANIA","Queensland",2011,2,16,"2011-02-16",47,47,"2022-01-28T15:31:56.000+00:00","2024-06-19T04:58:51.706+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"66bc1ca9-0304-4186-b19c-76cba35b1cb0","none","none",FALSE,NA,"Forster, P.I.|Fernando, D.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"66bc1ca9-0304-4186-b19c-76cba35b1cb0",NA,NA,NA,"Herbrecs","2418638362","66bc1ca9-0304-4186-b19c-76cba35b1cb0",NA,"BRI AQ0816613","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Small tree to 5m tall; bark flaky, rough; foliage coriaceous, flexible, glossy, dark green above, paler below; fruit soft fleshy, black.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","PIF37850","Open forest of Corymbia citriodora with rainforest elements in the understorey, steep gully on metasediments.","ICN","GPS","7000","Moggill Conservation Park, Pullen Pullen Creek catchment.","Moreton","2 seen in this subpopulation.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",130,NA,"Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=737f67e4-4b9c-4c2f-abca-22b94e49a0f4"
"2418514743","Gossia hillii (Benth.) N.Snow & Guymer",-26.700074,152.92162,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:58:39.804+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2018-08-01T00:00:00",100,"OCEANIA","Queensland",2011,3,3,"2011-03-03",62,62,"2022-01-28T15:31:57.000+00:00","2024-06-19T04:58:39.804+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"3326a971-8f0d-4941-9584-a480615b2c48","none","none",TRUE,NA,"Halford, J.|Bush, S.|Froude, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"3326a971-8f0d-4941-9584-a480615b2c48",NA,NA,NA,"Herbrecs","2418514743","3326a971-8f0d-4941-9584-a480615b2c48",NA,"BRI AQ0758180","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Small tree to 6m, multi-stemmed at base. Bark hard, fissured and tessellated, grey. Leaves opposite, tapered at base, acuminate, glossy above, pale below, petiole to 4mm. Fruit a globular berry on slender peduncle, borne in leaf axil, calyx persistent.",NA,NA,"Australia, Queensland, Moreton","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","BGQLD0782","Foothills of coastal range. Sandstone with some basalt creep. Red loam. Land use: Road reserve.","ICN","GPS","7000","Palmwoods, c. 300m along Country Road from intersection with McDonald Road.","Moreton","Uncommon at site.  Common name: scaly myrtle.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",91,NA,"Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=22984ad3-8532-433a-b3a2-b2df49d57b6c"
"2418953860","Gossia hillii (Benth.) N.Snow & Guymer",-26.275353,152.879115,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:21.893+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2018-08-01T00:00:00",100,"OCEANIA","Queensland",2011,3,4,"2011-03-04",63,63,"2022-01-20T08:11:27.000+00:00","2024-06-19T04:59:21.893+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"ecd31e11-cf40-487a-9651-7363a583b42f","none","none",TRUE,NA,"Halford, J.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"ecd31e11-cf40-487a-9651-7363a583b42f",NA,NA,NA,"Herbrecs","2418953860","ecd31e11-cf40-487a-9651-7363a583b42f",NA,"BRI AQ0758184","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Upright small tree to 8m with dense canopy. Bark shallowly fissured, grey-brown. Leaves opposite, narrow elliptic, acuminate. Fruit a globular black berry borne in leaf axil, several seeds.",NA,NA,"Australia, Queensland, Wide Bay","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","BGQLD0786","Above creek in coastal hills. Land use: private. Soil:clay-loam. Geology: meta sediment. Subtropical rainforest - shrubby regrowth. Associated species: Cinnamomum camphora, Glochidion ferdinandi, Acacia disparrima, A. melanoxylon, Banksia integrifolia subsp. compar, Ficus watkinsiana, Alphitonia excelsa and Neolitsea dealbata.","ICN","GPS","7000","Kin Kin, property of Wayne and Carolyn Halford, 1117 Pomona-Kin Kin road.","Wide Bay","Scattered throughout regrowth.  Common name: scaly myrtle.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",85,NA,"Fruit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=271222e0-98fc-4e0b-bfd1-efe3bbeaca59"
"2418843293","Gossia hillii (Benth.) N.Snow & Guymer",-17.158333,145.591667,"cdc,colmafu,inmafu","5d7f5915-0561-4107-aa20-20a4267c203f","96835ce2-d3af-4f6e-af81-faa0c7576fa4","19893c10-381e-4534-9bb8-6c37d03ad29e","3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","AU","DWC_ARCHIVE","2024-06-19T02:32:59.476+00:00","2024-06-19T04:59:10.558+00:00",318,"PRESERVED_SPECIMEN","PRESENT",5416227,6,7707728,220,690,5014,3177469,5416227,5416227,"Gossia hillii (Benth.) N.Snow & Guymer","Plantae","Tracheophyta","Myrtales","Myrtaceae","Gossia","Gossia hillii","Gossia","hillii","SPECIES","ACCEPTED","NE","2018-08-01T00:00:00",2000,"OCEANIA","Queensland",2008,11,20,"2008-11-20",325,325,"2022-01-20T08:11:27.000+00:00","2024-06-19T04:59:10.558+00:00",NA,"http://creativecommons.org/licenses/by/4.0/",FALSE,"be0fe0d9-ff3c-40a2-b897-ad463c474aa4","none","none",TRUE,NA,"Costion, C.",NA,"WGS84","Magnoliopsida","AU","none","none","OCEANIA","Australia","OCEANIA",NA,"be0fe0d9-ff3c-40a2-b897-ad463c474aa4",NA,NA,NA,"Herbrecs","2418843293","be0fe0d9-ff3c-40a2-b897-ad463c474aa4",NA,"BRI AQ0849173","BRI",NA,NA,NA,"Gossia hillii (Benth.) N.Snow & Guymer","Tree B22.",NA,NA,"Australia, Queensland, Cook","a79d773e-d540-4a63-bf13-3892b10581c8","96b0cded-0297-4de7-8917-2911806bb028","Sheet","1369",NA,"ICN","Label","7000","CSIRO Permanent Plot EP2.","Cook","Complex Notophyll Vine Forest with emergent Agathis robusta (CNVF), Type 6 Dry uplands, granite.","PhysicalObject","Scaly Myrtle","https://id.biodiversity.org.au/node/apni/2913707","Gossia hillii","Plantae | Viridaeplantae | Streptophyta | Equisetopsida | Magnoliidae | Rosanae | Myrtales | Myrtaceae | Gossia",720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=d004fd6b-8c18-4ce2-91d4-53541205f5ba"
